Empresa,Safra,Cultura,Fazenda,Valor,Grupo1,Grupo2,Grupo3,Grupo4,id
2, 2024/2025,SOJA,DONA IRILDE I,"179,543771942536",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,CORRETIVOS,CORRETIVOS,109030
2, 2024/2025,SOJA,DONA IRILDE I,"11,3491563734368",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,ADJUVANTES,109031
2, 2024/2025,SOJA,DONA IRILDE I,"71,0990474678521",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,CONTROLE BIOLOGICO,109032
2, 2024/2025,SOJA,DONA IRILDE I,"482,263018981556",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,109033
2, 2024/2025,SOJA,DONA IRILDE I,"285,471095266981",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,HERBICIDAS,109034
2, 2024/2025,SOJA,DONA IRILDE I,"33,2291712770375",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,109035
2, 2024/2025,SOJA,DONA IRILDE I,"241,274076427008",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,109036
2, 2024/2025,SOJA,DONA IRILDE I,"126,782973620035",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES FOLIARES,109037
2, 2024/2025,SOJA,DONA IRILDE I,"1042,6680356325",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES GRANULADOS,109038
2, 2024/2025,SOJA,DONA IRILDE I,"662,383187807589",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,SEMENTES E MUDAS,SEMENTES DE SOJA,109039
2, 2024/2025,SOJA,DONA IRILDE II,"201,183092106629",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,CORRETIVOS,CORRETIVOS,109040
2, 2024/2025,SOJA,DONA IRILDE II,"16,3459466921976",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,ADJUVANTES,109041
2, 2024/2025,SOJA,DONA IRILDE II,"93,7249226035651",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,CONTROLE BIOLOGICO,109042
2, 2024/2025,SOJA,DONA IRILDE II,"535,31079512663",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,109043
2, 2024/2025,SOJA,DONA IRILDE II,"271,964090638164",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,HERBICIDAS,109044
2, 2024/2025,SOJA,DONA IRILDE II,"34,4872487521324",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,109045
2, 2021/2022,SOJA,DONA IRILDE I,"254,13927788892",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,53381
2, 2021/2022,SOJA,DONA IRILDE I,"108,302448318567",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES FOLIARES,53382
2, 2021/2022,SOJA,DONA IRILDE I,"1030,83926518688",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES GRANULADOS,53383
2, 2021/2022,SOJA,DONA IRILDE I,"6,19097519926328",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES ORGANICOS,53384
2, 2021/2022,SOJA,DONA IRILDE II,"608,670263722341",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,SEMENTES E MUDAS,SEMENTES DE SOJA,53385
2, 2021/2022,SOJA,DONA IRILDE III,"5,8124823943662",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,ADJUVANTES,53386
2, 2021/2022,SOJA,DONA IRILDE III,"509,570818661972",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,SEMENTES E MUDAS,SEMENTES DE SOJA,53387
2, 2021/2022,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"11,9877950594693",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,ADJUVANTES,53388
2, 2021/2022,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"15,4607868252516",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53389
2, 2021/2022,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"573,453433211345",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,SEMENTES E MUDAS,SEMENTES DE SOJA,53390
2, 2021/2022,SOJA,SANTA CARMEM,"373,527839219883",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,53391
2, 2021/2022,SOJA,SANTA CARMEM,"181,621584017125",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,HERBICIDAS,53392
2, 2021/2022,SOJA,VENTURINI,"186,940764705882",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,HERBICIDAS,53393
2, 2024/2025,SOJA,DONA IRILDE II,"253,927539700209",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,109046
